Asset,Cluster
X1,10
X2,9
X3,5
X4,8
X5,7
X6,3
X7,1
X8,1
X9,5
X10,9
X11,9
X12,9
X13,5
X14,9
X15,9
X16,5
X17,5
X18,5
X19,1
X20,9
X21,3
X22,3
X23,9
X24,1
X25,1
X26,10
X27,6
X28,1
X29,1
X30,3
X31,3
X32,10
X33,3
X34,3
X35,8
X36,4
X37,7
X38,9
X39,2
X40,9
X41,1
X42,5
X43,3
X44,3
X45,10
X46,10
X47,6
X48,7
X49,10
X50,8
X51,5
X52,4
X53,2
X54,5
X55,5
X56,4
X57,3
X58,2
X59,6
X60,1
X61,1
X62,9
X63,10
X64,9
X65,4
X66,9
X67,5
X68,7
X69,7
X70,1
X71,7
X72,1
X73,1
X74,10
X75,8
X76,5
X77,8
X78,10
X79,4
X80,8
X81,5
X82,8
X83,5
X84,7
X85,2
X86,10
X87,4
X88,7
X89,8
X90,8
X91,9
X92,5
X93,8
X94,10
X95,4
X96,7
X97,9
X98,5
X99,4
X100,1
